Ludenscheid,NW,1061.06,41212,388
Seelow,BB,2158.67,194328,90
Koblenz,RP,817.25,214259,262
Neubrandenburg,MV,5470.35,25913,47
Meissen,SN,1454.59,242165,166
Merzig,SL,555.17,103366,186
Mettmann,NW,407.22,485684,1193
Miesbach,BY,866.23,99726,115
Miltenberg,BY,715.86,128756,180
Minden,NW,1152.41,31071,270
Freiberg,SN,2116.85,306185,145
Muhldorf am Inn,BY,805.31,11525,143
Munchen,BY,664.25,348871,525
Mosbach,BW,1126.24,143535,127
Neu-Ulm,BY,515.86,1742,338
Neuburg an der Donau,BY,739.81,9668,131
Neumarkt in der Oberpfalz,BY,1344.11,133561,99
Ottweiler,SL,249.24,132206,530
Neustadt an der Aisch,BY,1267.56,100364,79
Neustadt an der Waldnaab,BY,1427.67,94352,66
Neuwied,RP,626.9,181941,290
Nienburg,NI,1398.97,121386,87
Husum,SH,2082.96,165507,79
Nordhausen,TH,713.9,83822,117
Torgau,SN,2028.56,197673,97
Wismar,MV,2118.51,156729,74
Northeim,NI,1267.08,132765,105
Lauf an der Pegnitz,BY,799.57,170365,213
Sonthofen,BY,1528,155362,102
Gummersbach,NW,918.84,272471,297
Oranienburg,BB,1808.18,211249,117
Senftenberg,BB,1223.08,110476,90
Erbach,HE,623.98,96798,155
Beeskow,BB,2256.78,178658,79
Dietzenbach,HE,356.3,354092,994
Wildeshausen,NI,1063.16,130144,122
Olpe,NW,712.14,134775,189
Offenburg,BW,1860.81,429479,231
Osnabruck,NI,2121.63,357343,168
Aalen,BW,1511.54,314002,208
Marktoberdorf,BY,1394.91,140316,101
Osterholz-Scharmbeck,NI,650.81,113517,174
Eutin,SH,1392.55,200581,144
Neuruppin,BB,2526.55,99078,39
Paderborn,NW,1246.8,30689,246
Passau,BY,1530.29,192043,125
Peine,NI,534.97,133965,250
Pfaffenhofen an der Ilm,BY,761.14,127151,167
Elmshorn,SH,664.28,314391,473
Plon,SH,1083.17,128647,119
Perleberg,BB,2138.61,76508,36
Rastatt,BW,738.75,231018,313
Ravensburg,BW,1631.86,284285,174
Recklinghausen,NW,761.31,615261,808
Regen,BY,974.92,77656,80
Regensburg,BY,1391.9,193572,139
Waiblingen,BW,858.13,426158,497
Rendsburg,SH,2189.17,272775,125
Reutlingen,BW,1092.74,286748,262
Bergheim,NW,704.71,470089,667
Bad Schwalbach,HE,811.48,187157,231
Simmern,RP,991.12,102937,104
Bergisch Gladbach,NW,437.32,283455,648
Neuss,NW,576.52,451007,782
Bad Ems,RP,782.29,122308,156
Heidelberg,BW,1061.7,547625,516
Ludwigshafen am Rhein,RP,304.92,154201,506
Siegburg,NW,1153.21,59978,520
Bad Neustadt an der Saale,BY,1021.77,7969,78
Rosenheim,BY,1439.54,260983,181
Gustrow,MV,3422.51,215113,63
Rotenburg,NI,2070.45,163455,79
Roth,BY,895.39,126958,142
Pfarrkirchen,BY,1281.42,120659,94
Rottweil,BW,769.4,139455,181
Eisenberg,TH,815.24,83051,102
Merseburg,ST,1433.67,184582,129
Schleiz,TH,1151.3,80868,70
Saalfeld,TH,1036.03,104142,101
Saarbrucken,SL,410.64,329708,803
Saarlouis,SL,459.05,195201,425
Homburg,SL,418.4,142631,341
Pirna,SN,1654.19,245611,148
Bernburg,ST,1426.76,19056,134
Stadthagen,NI,675.57,157781,234
Schleswig,SH,2071.14,200025,97
Meiningen,TH,1251.2,125646,100
Homberg,HE,1538.51,180222,117
Schwandorf,BY,1464.97,147189,100
Villingen-Schwenningen,BW,1025.27,212381,207
Schwabisch Hall,BW,1483.97,195861,132
Schweinfurt,BY,841.46,115106,137
Bad Segeberg,SH,1344.39,276032,205
Siegen,NW,1132.89,27821,246
Sigmaringen,BW,1204.34,130873,109
Soest,NW,1328.63,301902,227
Sommerda,TH,806.86,69655,86
Sonneberg,TH,433.61,5841,135
Forst,BB,1657.45,114429,69
Sankt Wendel,SL,476.22,87397,184
Stade,NI,1266.02,203102,160
Starnberg,BY,487.71,136092,279
Itzehoe,SH,1056.13,131347,124
