kreisstadt89,hameln,89,52.1,9.35,364083,NW
kreisstadt90,hannoversch munden,90,51.416667,9.683333,148559,NI
kreisstadt91,winsen,91,53.833333,10.016667,1157624,NI
kreisstadt92,halberstadt,92,51.9,11.05,252776,NI
kreisstadt93,westheim bei hassfurt,93,49.983333,10.5,214446,ST
kreisstadt94,rathenow,94,52.6,12.333333,84599,BY
kreisstadt95,heidenheim an der brenz,95,48.683333,10.15,161909,BB
kreisstadt96,heilbronn,96,49.140278,9.22,139755,NI
kreisstadt97,heinsberg,97,51.066667,6.083333,132472,BW
kreisstadt98,helmstedt,98,52.233333,11.0,343068,BW
kreisstadt99,herford,99,52.133333,8.683333,254322,NW
kreisstadt100,bad hersfeld,100,50.866667,9.7,91307,NI
kreisstadt101,ratzeburg,101,53.7,10.766667,250783,NW
kreisstadt102,hildburghausen,102,50.416667,10.75,120829,HE
kreisstadt103,hildesheim,103,52.15,9.966667,197264,SH
kreisstadt104,meschede,104,51.35,8.283333,63553,TH
kreisstadt105,bad homburg vor der hohe,105,50.216667,8.616667,276594,NI
kreisstadt106,hof,106,50.316667,11.916667,260475,NW
kreisstadt107,kunzelsau,107,49.281944,9.688889,236564,HE
kreisstadt108,holzminden,108,51.816667,9.45,95311,BY
kreisstadt109,hoxter,109,51.766667,9.383333,11201,BW
kreisstadt110,arnstadt,110,50.833333,10.95,70975,NI
kreisstadt111,burgdorf,111,52.45,10.016667,140667,NW
kreisstadt112,kaiserslautern,112,49.45,7.75,106622,TH
kreisstadt113,karlsruhe,113,49.004722,8.385833,89928,ST
kreisstadt114,kassel,114,51.316667,9.5,106057,RP
kreisstadt115,kelheim,115,48.916667,11.866667,444232,BW
kreisstadt116,kitzingen,116,49.733333,10.166667,236633,HE
kreisstadt117,klevendeich,117,53.666667,9.616667,122258,BY
kreisstadt118,konstanz,118,47.666667,9.183333,90909,BY
kreisstadt119,kronach,119,50.233333,11.316667,310974,NW
kreisstadt120,kulmbach,120,50.1,11.45,285325,BW
kreisstadt121,kusel,121,49.55,7.4,67135,BY
kreisstadt122,sondershausen,122,51.366667,10.866667,71845,BY
kreisstadt123,wetzlar,123,50.55,8.5,70526,RP
kreisstadt124,landsberg am lech,124,48.05,10.866667,75009,TH
kreisstadt125,landshut,125,48.533333,12.15,253777,HE
kreisstadt126,leer,126,53.233333,7.433333,120071,BY
kreisstadt127,borna,127,51.116667,12.5,158698,BY
kreisstadt128,lichtenfels,128,50.15,11.066667,169809,NI
kreisstadt129,limburg an der lahn,129,50.383333,8.05,257763,SN
kreisstadt130,lindau,130,47.55,9.683333,66838,BY
kreisstadt131,detmold,131,51.933333,8.883333,172083,HE
kreisstadt132,lorrach,132,47.616288,7.664842,81669,BY
kreisstadt133,luchow,133,52.966667,11.15,348391,NW
kreisstadt134,ludwigsburg,134,48.9,9.183333,228639,BW
kreisstadt135,parchim,135,53.433333,11.85,48424,NI
kreisstadt136,luneburg,136,53.25,10.4,543984,BW
kreisstadt137,gelnhausen,137,50.2,9.183333,212618,MV
kreisstadt138,karlstadt,138,49.960278,9.772222,183372,NI
kreisstadt139,tauberbischofsheim,139,49.624722,9.662778,41895,HE
kreisstadt140,hofheim am taunus,140,50.083333,8.45,126365,BY
kreisstadt141,ingelheim am rhein,141,49.980556,8.073611,132321,BW
kreisstadt142,sangerhausen,142,51.466667,11.3,237735,HE
kreisstadt143,marburg,143,50.816667,8.766667,210889,RP
kreisstadt144,ludenscheid,144,51.216667,7.616667,136249,ST
kreisstadt145,seelow,145,52.516667,14.383333,246648,HE
kreisstadt146,koblenz,146,50.35,7.6,41212,NW
kreisstadt147,neubrandenburg,147,53.566667,13.266667,194328,BB
kreisstadt148,meissen-dobritz,148,51.133333,13.45,214259,RP
kreisstadt149,merzig,149,49.45,6.633333,25913,MV
kreisstadt150,mettmann,150,51.25,6.966667,242165,SN
kreisstadt151,miesbach,151,47.783333,11.833333,103366,SL
kreisstadt152,miltenberg,152,49.703889,9.264444,485684,NW
kreisstadt153,minden,153,52.283333,8.916667,99726,BY
kreisstadt154,freiberg,154,50.916667,13.366667,128756,BY
kreisstadt155,muhldorf am inn,155,48.25,12.533333,31071,NW
kreisstadt156,munchenhof,156,51.833333,11.116667,306185,SN
